,isbn,rating_count
0,002914180X,33
1,1906863482,41
2,948984147,26
3,814327079,6
4,875848419,119
5,087584717X,20
6,393009076,15
7,047146984X,133
8,052133991X,67
9,1551640260,29
10,143037013,924
11,961328983,9
12,300106971,24
13,9027232938,10
14,385333706,2898
15,486203816,649
16,015101115X,378
17,195167015,337
18,1414270658,6107
19,1586483242,416
20,807846767,120
21,767923634,7019
22,198129688,52
23,156029545,127
24,374528500,44
25,785289011,302
26,786715901,46
27,192803506,90
28,199283842,56
29,1564146383,337
30,807762725,198
31,765315696,8033
32,810990687,110
33,714530727,419
34,807067393,60
35,300083149,6
36,1433202077,320
37,590485830,1606
38,590485849,1035
39,059086601X,338
40,590634054,239
41,743243366,307
42,439064899,161
43,590512951,252
44,1563896133,357
45,590634011,273
46,439306442,141
47,439216400,202
48,439306450,163
49,735713286,34
50,810915448,46
51,786869143,1301
52,531168905,18
53,971330816,133
54,785274324,612
55,880105402,53
56,098458353X,94
57,691025916,194
58,041508833X,97
59,521456649,51
60,60273208,297
61,912550244,43
62,812530438,938
63,679776613,649
64,877457778,1
65,62017969,741
66,1570282250,116
67,71387366,34
68,375708057,79
69,590225170,36456
70,393052109,261
71,806521821,13
72,965175081,207
73,231124090,39
74,184416375X,162
75,740760505,26
76,916291545,900
77,1442413050,1223
78,199783195,43
79,1576839605,45
80,1574889826,29
81,152059474,666
82,8702089955,975
83,159477112X,77
84,395515270,166
85,812566572,2051
86,1608321169,768
87,1582973261,533
88,080912744X,5
89,385333854,1267
90,385533926,7545
91,857681001,1497
92,1423136942,698
93,440404959,1205
94,312328486,1443
95,1557837341,118
96,1846056500,4812
97,1845117654,9
98,785152512,1987
99,749008199,1066
100,160358370X,947
101,1742376193,905
102,802130860,6147
103,262621304,14
104,1854583298,149
105,962096326,116
106,1898723141,33
107,521019028,2
108,140554696,29
109,830681892,472
110,898714540,48
111,738202339,33
112,60579803,94
113,520268725,14
114,754603210,4
115,812992180,21744
116,1153679213,47
117,486232115,1235
118,312380348,14717
119,330303260,305
120,547393091,9807
121,330303287,377
122,439130204,6556
123,1416975888,476789
124,452285070,1422
125,805091157,845
126,1929154178,878
127,446580074,4622
128,1564145301,51
129,094031911X,90
130,970262108,55
131,62065092,1126
132,590029118,97
133,807059110,630
134,1575450593,328
135,582297966,677
136,865682305,10
137,1559722290,59
138,2890522989,16
139,226470725,13
140,1568461437,1199
141,394743873,300
142,743422120,448
143,877459002,26
144,1591452031,65
145,393064972,341
146,801022630,23
147,929701720,491
148,851709664,66
149,590458035,46
150,525468536,35
151,8371838158,678
152,231140444,218
153,618071784,70
154,813335531,170
155,039952990X,435
156,674016874,57
157,521829496,50
158,742534049,16
159,1580085784,1509
160,375504613,8138
161,517709775,3197
162,1577311108,1453
163,64403440,372
164,60271868,180
165,158846430X,16
166,1586421840,475
167,413752704,321
168,436206234,32
169,4770030150,177
170,059515686X,86
171,3770472268,531
172,1565630602,193
173,520045114,54
174,3791333127,79
175,71760393,160
176,800781775,1174
177,1400076323,261
178,3540435832,4
179,809016095,254
180,786862556,280
181,450029964,316
182,1585734926,2
183,816673063,349
184,820338761,0
185,520087720,12
186,395320844,748
187,803625049,89
188,184391400X,21435
189,306804417,9
190,771098774,185
191,1556520743,20406
192,1401231357,193
193,936756748,66
194,452281776,80
195,446552364,2754
196,034552554X,199905
197,750916451,12
198,765347644,595
199,1892145952,20
200,590550810,1649
201,1841492558,218
202,373237537,412
203,140341463,878
204,345323009,2278
205,205793843,79
206,373129920,339
207,713727039,18
208,1439145253,858
209,850305519,50
210,415278481,27016
211,486217841,2552
212,975526383,756
213,765347717,2233
214,345353129,9596
215,1585623784,4
216,330370308,3738
217,1904048617,562
218,753465752,31
219,933932871,696
220,679738959,12660
221,1566890683,60
222,671721372,1005
223,345302575,3463
224,394752309,127
225,60908807,3257
226,1600960642,42
227,1579120695,167
228,345334698,5754
229,809015455,860
230,61044024,988
231,786708271,107
232,812510011,2548
233,7176295,13
234,743435826,2306
235,600615669,9
236,156865054X,65021
237,345336941,12079
238,805071857,65
239,801851602,48
240,671036610,930
241,801487137,85
242,671826581,5486
243,713628278,14516
244,897332873,224
245,1557042586,322
246,1557042594,508
247,1421510111,2203
248,1421505762,4101
249,1421510103,2999
250,1421505754,17832
251,752433431,11
252,972503765,514
253,061834151X,141
254,312320558,3663
255,1609530462,336
256,801878837,235
257,1402037198,0
258,786705329,68
259,078510755X,2906
260,1904859585,119
261,1401322328,556
262,70209782,62
263,441149243,471
264,425132455,249
265,1556343337,44
266,157243676X,93
267,977907430,304
268,9663437413,615
